,index,schoolName,average_activity,gifted_activity,needs attention_activity,average_curriculum,gifted_curriculum,poor_curriculum,average_dig,gifted_dig,poor_dig,average_fin,gifted_fin,poor_fin
51,51,160-MS-KHI-MLR,0.5901639344262295,0.19672131147540983,0.21311475409836064,0.6491228070175439,0.05263157894736842,0.2982456140350877,0.7272727272727273,0.06060606060606061,0.21212121212121213,0.7868852459016393,0.03278688524590164,0.18032786885245902
52,52,161-MS-HYD-HYD,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.0,1.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285
53,53,162-MS-HYD-HYD,0.7912087912087912,0.06593406593406594,0.14285714285714285,0.8444444444444444,0.03333333333333333,0.12222222222222222,0.8780487804878049,0.04878048780487805,0.07317073170731707,0.8351648351648352,0.03296703296703297,0.13186813186813187
54,54,164-MS-HYD-HYD,0.8735632183908046,0.06896551724137931,0.05747126436781609,0.8160919540229885,0.04597701149425287,0.13793103448275862,0.9365079365079365,0.06349206349206349,0.0,0.8620689655172413,0.05747126436781609,0.08045977011494253
55,55,165-MS-HYD-HYD,0.8857142857142857,0.07142857142857142,0.04285714285714286,0.8840579710144928,0.08695652173913043,0.028985507246376812,0.6875,0.125,0.1875,0.8571428571428571,0.05714285714285714,0.08571428571428572
56,56,166-MS-HYD-HYD,0.9452054794520548,0.0410958904109589,0.0136986301369863,0.9041095890410958,0.0684931506849315,0.0273972602739726,0.8428571428571429,0.08571428571428572,0.07142857142857142,0.8918918918918919,0.10810810810810811,0.0
57,57,167-MS-HYD-HYD,0.9591836734693877,0.02040816326530612,0.02040816326530612,0.9081632653061225,0.08163265306122448,0.01020408163265306,0.6595744680851063,0.32978723404255317,0.010638297872340425,0.8571428571428571,0.14285714285714285,0.0
58,58,168-MS-HYD-HYD,0.9191919191919192,0.020202020202020204,0.06060606060606061,0.9292929292929293,0.050505050505050504,0.020202020202020204,0.7865168539325843,0.1348314606741573,0.07865168539325842,0.9494949494949495,0.050505050505050504,0.0
59,59,169-MS-HYD-HYD,0.8865979381443299,0.0,0.1134020618556701,0.9381443298969072,0.041237113402061855,0.020618556701030927,0.8505747126436781,0.13793103448275862,0.011494252873563218,0.8969072164948454,0.09278350515463918,0.010309278350515464
60,60,170-MS-HYD-HYD,0.8854166666666666,0.020833333333333332,0.09375,0.9479166666666666,0.020833333333333332,0.03125,0.8765432098765432,0.07407407407407407,0.04938271604938271,0.9375,0.03125,0.03125
61,61,171-MS-HYD-HYD,0.7777777777777778,0.06666666666666667,0.15555555555555556,0.8888888888888888,0.0,0.1111111111111111,0.6666666666666666,0.0,0.3333333333333333,0.6521739130434783,0.0,0.34782608695652173
62,62,173-MS-KHI-MLR,0.6666666666666666,0.15151515151515152,0.18181818181818182,0.7931034482758621,0.13793103448275862,0.06896551724137931,0.95,0.0,0.05,0.8235294117647058,0.08823529411764706,0.08823529411764706
63,63,175-MS-KHI-KRG,0.5540540540540541,0.12162162162162163,0.32432432432432434,0.5942028985507246,0.028985507246376812,0.37681159420289856,0.94,0.0,0.06,0.7972972972972973,0.04054054054054054,0.16216216216216217
64,64,176-MS-KHI-MLR,0.8382352941176471,0.04411764705882353,0.11764705882352941,0.8235294117647058,0.16176470588235295,0.014705882352941176,0.8409090909090909,0.11363636363636363,0.045454545454545456,0.7352941176470589,0.17647058823529413,0.08823529411764706
65,65,177-MS-KHI-KRG,0.8160919540229885,0.04597701149425287,0.13793103448275862,0.8470588235294118,0.09411764705882353,0.058823529411764705,0.9090909090909091,0.0,0.09090909090909091,0.8390804597701149,0.08045977011494253,0.08045977011494253
66,66,179-MS-HYD-HYD,0.8333333333333334,0.06666666666666667,0.1,0.8111111111111111,0.022222222222222223,0.16666666666666666,0.90625,0.078125,0.015625,0.8586956521739131,0.043478260869565216,0.09782608695652174
67,67,180-MS-HYD-HYD,0.9263157894736842,0.010526315789473684,0.06315789473684211,0.8387096774193549,0.11827956989247312,0.043010752688172046,0.7469879518072289,0.20481927710843373,0.04819277108433735,0.8,0.17894736842105263,0.021052631578947368
68,68,181-MS-HYD-HYD,0.9230769230769231,0.046153846153846156,0.03076923076923077,0.828125,0.09375,0.078125,0.8148148148148148,0.14814814814814814,0.037037037037037035,0.8181818181818182,0.13636363636363635,0.045454545454545456
69,69,182-MS-HYD-HYD,0.8426966292134831,0.033707865168539325,0.12359550561797752,0.9318181818181818,0.022727272727272728,0.045454545454545456,0.7636363636363637,0.01818181818181818,0.21818181818181817,0.9213483146067416,0.033707865168539325,0.0449438202247191
70,70,183-MS-HYD-HYD,0.8604651162790697,0.023255813953488372,0.11627906976744186,0.7411764705882353,0.07058823529411765,0.18823529411764706,1.0,0.0,0.0,0.627906976744186,0.03488372093023256,0.3372093023255814
71,71,184-MS-KHI-MLR,0.9340659340659341,0.01098901098901099,0.054945054945054944,0.9340659340659341,0.054945054945054944,0.01098901098901099,0.9117647058823529,0.029411764705882353,0.058823529411764705,0.945054945054945,0.04395604395604396,0.01098901098901099
72,72,185-MS-KHI-MLR,0.9508196721311475,0.01639344262295082,0.03278688524590164,0.9180327868852459,0.06557377049180328,0.01639344262295082,0.8888888888888888,0.018518518518518517,0.09259259259259259,0.9508196721311475,0.03278688524590164,0.01639344262295082
73,73,186-MS-MPK-MPK,0.8602150537634409,0.010752688172043012,0.12903225806451613,0.8817204301075269,0.06451612903225806,0.053763440860215055,0.8333333333333334,0.020833333333333332,0.14583333333333334,0.8924731182795699,0.043010752688172046,0.06451612903225806
74,74,187-MS-MPK-MPK,0.9146341463414634,0.06097560975609756,0.024390243902439025,0.9146341463414634,0.08536585365853659,0.0,0.9038461538461539,0.07692307692307693,0.019230769230769232,0.8536585365853658,0.12195121951219512,0.024390243902439025
75,75,188-MS-MPK-MPK,0.9090909090909091,0.022727272727272728,0.06818181818181818,0.8977272727272727,0.10227272727272728,0.0,0.8285714285714286,0.1,0.07142857142857142,0.8764044943820225,0.07865168539325842,0.0449438202247191
76,76,189-MS-MPK-MPK,0.9342105263157895,0.02631578947368421,0.039473684210526314,0.8533333333333334,0.10666666666666667,0.04,0.8125,0.0625,0.125,0.868421052631579,0.06578947368421052,0.06578947368421052
77,77,190-MS-MPK-MPK,0.8169014084507042,0.07042253521126761,0.11267605633802817,0.8428571428571429,0.1,0.05714285714285714,0.8809523809523809,0.0,0.11904761904761904,0.8450704225352113,0.09859154929577464,0.056338028169014086
78,78,191-MS-MPK-MPK,0.88,0.01,0.11,0.8,0.02,0.18,0.8048780487804879,0.07317073170731707,0.12195121951219512,0.9,0.04,0.06
79,79,192-MS-MPK-MPK,0.7758620689655172,0.034482758620689655,0.1896551724137931,0.8275862068965517,0.034482758620689655,0.13793103448275862,0.8867924528301887,0.05660377358490566,0.05660377358490566,0.8793103448275862,0.05172413793103448,0.06896551724137931
80,80,193-MS-MPK-MPK,0.9578947368421052,0.010526315789473684,0.031578947368421054,0.9263157894736842,0.06315789473684211,0.010526315789473684,0.8909090909090909,0.0,0.10909090909090909,0.9473684210526315,0.031578947368421054,0.021052631578947368
81,81,194-MS-MPK-MPK,0.6666666666666666,0.06172839506172839,0.2716049382716049,0.875,0.05,0.075,0.7380952380952381,0.0,0.2619047619047619,0.7777777777777778,0.04938271604938271,0.1728395061728395
82,82,195-MS-HYD-HYD,0.926829268292683,0.0,0.07317073170731707,0.9146341463414634,0.036585365853658534,0.04878048780487805,1.0,0.0,0.0,0.9024390243902439,0.0,0.0975609756097561
83,83,196-MS-MPK-MPK,0.9690721649484536,0.0,0.030927835051546393,0.711340206185567,0.27835051546391754,0.010309278350515464,0.8085106382978723,0.09574468085106383,0.09574468085106383,0.7628865979381443,0.2268041237113402,0.010309278350515464
84,84,197-MS-HYD-HYD,0.7872340425531915,0.06382978723404255,0.14893617021276595,0.6808510638297872,0.02127659574468085,0.2978723404255319,0.6842105263157895,0.10526315789473684,0.21052631578947367,0.6041666666666666,0.041666666666666664,0.3541666666666667
85,85,198-MS-HYD-HYD,0.8970588235294118,0.029411764705882353,0.07352941176470588,0.9104477611940298,0.07462686567164178,0.014925373134328358,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.855072463768116,0.11594202898550725,0.028985507246376812
86,86,199-MS-HYD-HYD,0.9239130434782609,0.0,0.07608695652173914,0.9239130434782609,0.05434782608695652,0.021739130434782608,0.8615384615384616,0.09230769230769231,0.046153846153846156,0.8913043478260869,0.07608695652173914,0.03260869565217391
87,87,200-MS-HYD-HYD,0.8351648351648352,0.02197802197802198,0.14285714285714285,0.8666666666666667,0.13333333333333333,0.0,0.7638888888888888,0.05555555555555555,0.18055555555555555,0.8571428571428571,0.12087912087912088,0.02197802197802198
88,88,216-MS-BNB-THT,0.9333333333333333,0.0,0.06666666666666667,0.8666666666666667,0.044444444444444446,0.08888888888888889,0.6060606060606061,0.2727272727272727,0.12121212121212122,0.7777777777777778,0.06666666666666667,0.15555555555555556
89,89,217-MS-BNB-THT,0.9438202247191011,0.033707865168539325,0.02247191011235955,0.8426966292134831,0.15730337078651685,0.0,0.8444444444444444,0.13333333333333333,0.022222222222222223,0.8651685393258427,0.1348314606741573,0.0
90,90,218-MS-BNB-THT,0.92,0.013333333333333334,0.06666666666666667,0.8533333333333334,0.10666666666666667,0.04,0.8260869565217391,0.043478260869565216,0.13043478260869565,0.7466666666666667,0.08,0.17333333333333334
